year month day hour T01 T02 T03 T04 T05 T06 T07 T08 T09 T10 T11 T12 T13 T14 T15 T16
2015 1 8 9 NA 4386 4947 5209 5307 5704 6112 NA 6606 6021 6192 5490 5209 NA NA NA
2015 1 8 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 8 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 9 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 10 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 11 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 9 NA NA NA NA NA NA NA NA NA NA NA 20679 NA NA NA NA
2015 1 12 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 13 NA NA NA NA NA NA NA NA NA NA NA 12328 NA NA NA NA
2015 1 12 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 17 NA NA NA NA NA NA NA NA NA NA NA 13261 NA NA NA NA
2015 1 12 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2015 1 12 21 NA NA NA NA NA NA NA NA NA NA NA 9601 NA NA NA NA
